#OTUID	domain	phylum	class	order	family	genus	species
e5fef395ef514fcfdc00deebc873177b	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	
06e7ee47dfae75d3d943783ab6d2f6d0	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	
bfd357f356ee840f71cc8ad1b3a24077	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	
6232e312ab1cbff8fc8435664614eb76	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	uncultured	
7455a85ba289794fd487826e7ef5f4c3	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidipila	
b87331ac74bcfe2dce110fef068b033a	Bacteria	Firmicutes	Clostridia	Clostridia	Hungateiclostridiaceae	Ruminiclostridium	
3a860a47895fb44448d60362e00bea7d	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Rickettsiella	
1e61eead4a8032916a908af6844d0958	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
82712e50f81ad06f981096a272fdf253	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	
3f175d5a897db42ffa063c14c32915b0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Sporobacter	
c281e2b871b37109f585fcfe4076a837	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	
e1e94c186d7c28e280ba223cb22d4873	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Macrococcus	
a25aa7479ae75f3399e4a37048b6be0f	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
8c26f4aa30c6abf12bb64b99d288fea6	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	uncultured	
e704adcb0688fb2ead72ccdc38f4cd65	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
c2826b8eafe5a0297f56992553755a2d	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	
f226b210a12007f4ef083eeae7b2f9ae	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	uncultured	
814759f752594b694bd3f3031f083954	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Catellatospora	
4ac2deee6cb41943651f90b18e99f93d	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	
8c5cb9e512429d817563f0933edaa3e4	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	
c447b8fdda2dd37918c9640be87e8eab	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	
2b86bbf7f81c7b4ed724dd055aba0c79	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	
36eddb53abedfbf2aa02d84c5ca5b8bd	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	uncultured	
cdf08ba03dddc2978a48bc7d874d8053	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Paeniglutamicibacter	
9c0d3a7c8368c849fc9c107f7e2c28a5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	
22a05892a0129cc1061f054a3622a50e	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	
4221aac685c22abf9d52a86842df992d	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria	
c3fe6ae58bb1e240a989dac6b2708532	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aureimonas	
50c9aa84ab2b21e27f3b952067f5581e	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Rickettsiella	
7c973e18d6a8d0e84497936e425e140b	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	LWQ8	
c6f392b5d407038df60b40ab3a60c8d7	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinophytocola	
2c7bcf9cbd36d970eacc6e5193a4b75a	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	
0f0df24388051d99eb6cac86bc57d781	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_R-7_group	
9f0efb59adaeac3c316857d2eeb206ab	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera	
4f6d38bd78e739e40e1216ab53326ce0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
cb0be55d8d056bd5a970a41c43dbce62	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus_Soleaferrea	
582af5754e6927dee1fe32918ea66168	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Paeniglutamicibacter	
c6bb6537c91fe6e700a3307cea658dd3	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	
c46ff71682c06bd36933ad4728249bd7	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	uncultured	
b486c4708693d20313dc5ed13e37abf3	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	Gallicola	
54224a4e0bc63e561e7a309a6e2e813b	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	
869f13e0a34573ee150945d48bb50381	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria	
883ffd0aac837f3a176344d52919a61c	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	
0af190cabd96d8a2883321ac2a67a2ec	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	
18af06ef31503252709feb2cf6550091	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	uncultured	
33813668894709bd070eded716f0729b	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
11afd712a17f9c0a9d762e6ff8e1b7cb	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales	Saccharimonadales	
df656d2bf967e4252a3e1cecdda43dd9	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	
d951377636f3643f9e64a1286c02547d	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	
c65b96d753c5c982d4741b475c2b12b7	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	
b63c3bd297c8bf023f52c68294f8ed40	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria	
cb56788b3e43a15c96b83e749e7b7bb3	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
9eeea52526c1d35eee5a0f9ef94b5c2b	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	
3427bdaf3799ffa9e5918766490128bc	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	
b17712102832d7b08afdafca7929bfed	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria	
